indicator_code,indicator_name,unit_canonical
Y477110105,Земельная площадь по видам угодий: Сельскохозяйственные угодья,"На конец года, тысяч га; для значений в целом по России: млн га"
Y477110159,Использование свежей воды,Миллионов кубических метров
Y477110239,Объем оборотной и последовательно используемой воды,Миллионов кубических метров
Y477110367,Сброс загрязненных сточных вод в поверхностные водные объекты,Миллионов кубических метров
Y477110140,"Индексы цен производителей промышленных товаров по видам экономической деятельности: Производство и распределение электроэнергии, газа и воды в соответствии с ОКВЭД","Декабрь к декабрю предыдущего года, в процентах"
Y477110107,Инвестиции в основной капитал,Млн руб
Y477110108,Инвестиции в основной капитал на душу населения,Руб
Y477110139,Индексы цен производителей промышленных товаров по видам экономической деятельности: Обрабатывающие производства в соответствии с ОКВЭД2,"Декабрь к декабрю предыдущего года, в процентах"
Y477110110,Индекс физического объема инвестиций в основной капитал,"В сопоставимых ценах, в процентах к предыдущему году"
Y477110311,Поступление прямых иностранных инвестиций в российскую федерацию: Изъято,"По данным платежного баланса Российской Федерации, миллионов долларов США"
Y477110312,Поступление прямых иностранных инвестиций в российскую федерацию: Поступило,"По данным платежного баланса Российской Федерации, миллионов долларов США"
Y477110313,Поступление прямых иностранных инвестиций в российскую федерацию: Сальдо,"По данным платежного баланса Российской Федерации, миллионов долларов США"
Y477050015,Инвестиции в основной капитал,Млн руб
Y477110138,Индексы цен производителей промышленных товаров по видам экономической деятельности: Обрабатывающие производства в соответствии с ОКВЭД,"Декабрь к декабрю предыдущего года, в процентах"
Y477050018,Индексы физического объема инвестиций в основной капитал,"В сопоставимых ценах, в процентах к предыдущему году"
Y477110137,"Индексы цен производителей промышленных товаров по видам экономической деятельности: Обеспечение электрической энергией, газом и паром, кондиционирование воздуха","Декабрь к декабрю предыдущего года, в процентах"
Y477110136,Индексы цен производителей промышленных товаров по видам экономической деятельности: Индексы цен производителей промышленных товаров в соответствии с ОКВЭД2 — всего,"Декабрь к декабрю предыдущего года, в процентах"
Y477080010,Индексы потребительских цен на бытовые услуги,"Декабрь к декабрю предыдущего года, в процентах"
Y477080022,Индексы физического объема платных бытовых услуг населению,В процентах к предыдущему году
Y477080041,Объем платных бытовых услуг населению,Млн руб
Y477080038,Индексы физического объема юридических услуг,В процентах к предыдущему году
Y477080017,Индексы потребительских цен на услуги правового характера,"Декабрь к декабрю предыдущего года, в процентах"
Y477110379,Средние цены на вторичном рынке жилья,"На конец года, рублей за квадратный метр общей площади"
Y477170013,"Среднемесячная начисленная заработная плата наёмных работников в организациях, у индивидуальных предпринимателей и физических лиц",Руб
Y477110499,Число собственных легковых автомобилей на 1000 человек населения,"На конец года, штук"
Y477110135,Индексы цен производителей промышленных товаров по видам экономической деятельности: Индексы цен производителей промышленных товаров в соответствии с ОКВЭД — всего,"Декабрь к декабрю предыдущего года, в процентах"
Y477110134,Индексы цен производителей промышленных товаров по видам экономической деятельности: Добыча полезных ископаемых в соответствии с ОКВЭД2,"Декабрь к декабрю предыдущего года, в процентах"
Y477110133,Индексы цен производителей промышленных товаров по видам экономической деятельности: Добыча полезных ископаемых в соответствии с ОКВЭД,"Декабрь к декабрю предыдущего года, в процентах"
Y477110156,"Использование персональных компьютеров и сети интернет в домашних хозяйствах: Удельный вес домашних хозяйств, имевших доступ к сети интернет","По данным выборочного обследования населения по вопросам использования ИКТ, в процентах от общего числа домашних хозяйств соответствующего субъекта Российской Федерации"
Y477110157,"Использование персональных компьютеров и сети интернет в домашних хозяйствах: Удельный вес домашних хозяйств, имевших персональный компьютер","По данным выборочного обследования населения по вопросам использования ИКТ, в процентах от общего числа домашних хозяйств соответствующего субъекта Российской Федерации"
Y477110158,"Использование персональных компьютеров и сети интернет в домашних хозяйствах: Удельный вес домашних хозяйств, имевших широкополосный доступ к сети интернет","По данным выборочного обследования населения по вопросам использования ИКТ, в процентах от общего числа домашних хозяйств соответствующего субъекта Российской Федерации"
Y477110470,Численность пенсионеров: На 1000 человек населения,ND
Y477110132,"Индексы цен производителей промышленных товаров по видам экономической деятельности: Водоснабжение, водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","Декабрь к декабрю предыдущего года, в процентах"
Y477110131,Индексы цен производителей на строительную продукцию,"Декабрь к декабрю предыдущего года, в процентах"
Y477110163,"Использование сети интернет населением: Население, использовавшее сеть интернет каждый день или почти каждый день","По данным выборочного обследования населения по вопросам использования ИКТ, в процентах от общей численности населения соответствующего субъекта Российской Федерации"
Y477110164,"Использование цифровых технологий в организациях: Организации, использовавшие глобальные информационные сети",В процентах от общего числа обследованных организаций соответствующего субъекта Российской федерации
Y477110165,"Использование цифровых технологий в организациях: Организации, использовавшие интернет вещей",В процентах от общего числа обследованных организаций соответствующего субъекта Российской федерации
Y477110166,"Использование цифровых технологий в организациях: Организации, использовавшие локальные вычислительные сети",В процентах от общего числа обследованных организаций соответствующего субъекта Российской федерации
Y477110167,"Использование цифровых технологий в организациях: Организации, использовавшие облачные сервисы",В процентах от общего числа обследованных организаций соответствующего субъекта Российской федерации
Y477110168,"Использование цифровых технологий в организациях: Организации, использовавшие персональные компьютеры",В процентах от общего числа обследованных организаций соответствующего субъекта Российской федерации
Y477110169,"Использование цифровых технологий в организациях: Организации, использовавшие серверы",В процентах от общего числа обследованных организаций соответствующего субъекта Российской федерации
Y477110170,"Использование цифровых технологий в организациях: Организации, использовавшие технологии искусственного интеллекта",В процентах от общего числа обследованных организаций соответствующего субъекта Российской федерации
Y477110171,"Использование цифровых технологий в организациях: Организации, использовавшие технологии сбора, обработки и анализа больших данных",В процентах от общего числа обследованных организаций соответствующего субъекта Российской федерации
Y477110172,"Использование цифровых технологий в организациях: Организации, использовавшие цифровые платформы",В процентах от общего числа обследованных организаций соответствующего субъекта Российской федерации
Y477110173,Использование широкополосного доступа к сети интернет в организациях,В процентах от общего числа обследованных организаций
Y477110174,"Использование электронного документооборота в организациях: Организации, использовавшие системы электронного документооборота",В процентах от общего числа обследованных организаций соответствующего субъекта Российской Федерации
Y477110175,"Использование электронного документооборота в организациях: Организации, использовавшие электронный обмен данными между своими и внешними информационными системами, по форматам обмена",В процентах от общего числа обследованных организаций соответствующего субъекта Российской Федерации
Y477110260,"Организации, имевшие веб-сайт",В процентах от общего числа обследованных организаций соответствующего субъекта Российской Федерации
Y477110434,Численность активных абонентов фиксированного и мобильного широкополосного доступа к сети интернет на 100 человек населения: Численность активных абонентов мобильного широкополосного доступа к сети интернет,"На конец года, единиц"
Y477110469,Численность пенсионеров: Всего,Тыс чел
Y477110435,Численность активных абонентов фиксированного и мобильного широкополосного доступа к сети интернет на 100 человек населения: Численность активных абонентов фиксированного широкополосного доступа к сети интернет,"На конец года, единиц"
Y477110130,Индексы цен на первичном рынке жилья,"На конец года, в процентах к концу предыдущего года"
Y477110498,Число подключенных абонентских устройств мобильной связи на 1000 человек населения,"На конец года, штук"
Y477150044,Фактическое использование торговых мест на розничных рынках,"В среднем за год, число торговых мест фактически использованных в процентах от общего числа торговых мест"
Y477150045,Число розничных рынков,На 1 января
Y477150046,Число торговых мест на розничных рынках,"На 1 января, мест"
Y477110071,Доходы консолидированных бюджетов субъектов Российской Федерации,Миллионов рублей; для значений в целом по России: млрд руб
Y477110448,"Численность занятых, приходящихся на одного пенсионера",Тыс чел
Y477080004,Индексы потребительских тарифов на коммунальные услуги,"Декабрь к декабрю предыдущего года, в процентах"
Y477080021,Индексы физического объема коммунальных услуг населению,В процентах к предыдущему году
Y477080040,Объем коммунальных услуг населению,Млн руб
Y477110055,Выпуск газет на 1000 человек населения,"Разовый тираж, экземпляров"
Y477110068,Детские оздоровительные лагеря: Число детских оздоровительных лагерей,ND
Y477110069,"Детский отдых: Численность детей, отдохнувших в них за лето",Тыс чел
Y477110191,Коллективные средства размещения: Численность размещенных лиц,Тыс чел
Y477110192,Коллективные средства размещения: Число коллективных средств размещения,ND
Y477110227,Общедоступные библиотеки: Библиотечный фонд на 1000 человек населения,"На конец года, экземпляров"
Y477110228,Общедоступные библиотеки: Численность пользователей,Тыс чел
Y477110404,Туристские фирмы: Число туристских фирм,ND
Y477110405,"Туристские фирмы: Число турпакетов, реализованных населению",Тысяч
Y477110450,Численность зрителей театров и число посещений музеев на 1000 человек населения: Численность зрителей театров,Тыс чел
Y477110451,Численность зрителей театров и число посещений музеев на 1000 человек населения: Число посещений музеев,Тыс чел
Y477110468,Численность отдохнувших детей в субъекте Российской Федерации,Тыс чел
Y477110479,"Численность российских туристов, обслуженных туристскими фирмами: Численность российских туристов, отправленных туристскими фирмами, в зарубежные туры",Тыс чел
Y477110480,"Численность российских туристов, обслуженных туристскими фирмами: Численность российских туристов, отправленных туристскими фирмами, в туры по России",Тыс чел
Y477110500,Число спортивных сооружений: Плавательные бассейны,ND
Y477110501,Число спортивных сооружений: Плоскостные спортивные сооружения,Площадки и поля
Y477110502,Число спортивных сооружений: Спортивные залы,ND
Y477110503,Число спортивных сооружений: Стадионы с трибунами на 1500 мест и более,ND
Y477080011,Индексы потребительских цен на медицинские услуги,"Декабрь к декабрю предыдущего года, в процентах"
Y477080023,Индексы физического объема платных медицинских услуг населению,В процентах к предыдущему году
Y477080042,Объем платных медицинских услуг населению,Млн руб
Y477110129,Индексы цен на вторичном рынке жилья,"На конец года, в процентах к концу предыдущего года"
Y477110196,Коэффициенты естественного прироста населения на 1000 человек населения,ND
Y477110197,Коэффициенты миграционного прироста на 10000 человек населения,ND
Y477110198,Коэффициенты младенческой смертности,"Число детей, умерших в возрасте до 1 года, на 1000 родившихся живыми"
Y477110229,Общие коэффициенты брачности на 1000 человек населения,ND
Y477110230,Общие коэффициенты разводимости на 1000 человек населения,ND
Y477110231,Общие коэффициенты рождаемости,Число родившихся на 1000 человек населения
Y477110232,Общие коэффициенты смертности,Число умерших на 1000 человек населения
Y477110256,Ожидаемая продолжительность жизни при рождении: Все население,Число лет
Y477110257,Ожидаемая продолжительность жизни при рождении: Женщины,Число лет
Y477110258,Ожидаемая продолжительность жизни при рождении: Мужчины,Число лет
Y477110353,Распределение числа выбывших по направлениям передвижения: В другие регионы России,В процентах от общего числа выбывших
Y477110354,Распределение числа выбывших по направлениям передвижения: В пределах региона,В процентах от общего числа выбывших
Y477110355,Распределение числа выбывших по направлениям передвижения: За пределы России,В процентах от общего числа выбывших
Y477110356,Распределение числа прибывших по направлениям передвижения: В пределах региона,В процентах от общего числа прибывших
Y477110357,Распределение числа прибывших по направлениям передвижения: Из других регионов,В процентах от общего числа прибывших
Y477110358,Распределение числа прибывших по направлениям передвижения: Из-за пределов России,В процентах от общего числа прибывших
Y477110368,Смертность населения (без показателя смертности от внешних причин),Число умерших на 100 000 человек населения
Y477110382,Средний размер назначенных пенсий,"На 1 января, рублей"
Y477110369,Смертность населения в трудоспособном возрасте,Число умерших на 100 000 человек соответствующего возраста
Y477110378,Среднемесячная номинальная начисленная заработная плата работников организаций,Руб
Y477110370,Соотношение браков и разводов,На 1000 браков приходится разводов
Y477110377,Среднемесячная начисленная заработная плата муниципальных служащих органов местного самоуправления: Всего,Руб
Y477110376,Среднемесячная начисленная заработная плата муниципальных служащих органов местного самоуправления: В представительных органах муниципальных образований,Руб
Y477110402,Суммарный коэффициент рождаемости,Число детей на 1 женщину
Y477110375,Среднемесячная начисленная заработная плата муниципальных служащих органов местного самоуправления: В местных администрациях (исполнительно-распорядительных органах муниципальных образований),Руб
Y477110403,Темпы прироста численности населения,"Прирост за год, в процентах"
Y477110374,Среднедушевые денежные доходы населения,Руб/мес
Y477110364,Реальные денежные доходы: Реальный размер назначенных пенсий,В процентах к предыдущему году
Y477110363,Реальные денежные доходы: Реальные доходы населения,В процентах к предыдущему году
Y477110437,Численность беженцев,Тыс чел
Y477110442,Численность вынужденных переселенцев,Тыс чел
Y477110457,"Численность лиц, получивших временное убежище",Тыс чел
Y477110362,Реальные денежные доходы: Реальная начисленная заработная плата работников организаций,В процентах к предыдущему году
Y477110331,"Предоставление гражданам субсидий на оплату жилого помещения и коммунальных услуг: Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг","По состоянию на конец отчетного периода, тысяч"
Y477110330,Предоставление гражданам субсидий на оплату жилого помещения и коммунальных услуг: Среднемесячный размер субсидий на семью,"На конец отчетного периода, рублей"
Y477110329,Предоставление гражданам субсидий на оплату жилого помещения и коммунальных услуг: Общая сумма начисленных субсидий на оплату жилого помещения и коммунальных услуг,Млн руб
Y477110039,Внутренние затраты на научные исследования и разработки,Млн руб
Y477110040,Внутренние текущие затраты на научные исследования и разработки по видам затрат: Всего,Млн руб
Y477110041,Внутренние текущие затраты на научные исследования и разработки по видам затрат: Другие материальные затраты,Млн руб
Y477110042,Внутренние текущие затраты на научные исследования и разработки по видам затрат: Оплата труда,Млн руб
Y477110043,Внутренние текущие затраты на научные исследования и разработки по видам затрат: Приобретение оборудования,Млн руб
Y477110044,Внутренние текущие затраты на научные исследования и разработки по видам затрат: Прочие текущие затраты,Млн руб
Y477110045,"Внутренние текущие затраты на научные исследования и разработки по видам затрат: Страховые взносы на ОПС, ОМС, ОСС",Млн руб
Y477110046,Внутренние текущие затраты на научные исследования и разработки по видам работ: Всего,Млн руб
Y477110047,Внутренние текущие затраты на научные исследования и разработки по видам работ: Прикладные исследования,Млн руб
Y477110048,Внутренние текущие затраты на научные исследования и разработки по видам работ: Разработки,Млн руб
Y477110049,Внутренние текущие затраты на научные исследования и разработки по видам работ: Фундаментальные исследования,Млн руб
Y477110101,"Затраты на инновационную деятельность организаций: В процентах от общего объема отгруженных товаров, выполненных работ, услуг",В процентах
Y477110102,Затраты на инновационную деятельность организаций: Всего,Млн руб
Y477110143,Инновационная активность организации: Уровень инновационной активности организаций,В процентах
Y477110328,"Предоставление гражданам социальной поддержки (льгот) по оплате жилого помещения и коммунальных услуг: Численность граждан, пользующихся социальной поддержкой по оплате жилого помещения и коммунальных услуг",Тыс чел
Y477110144,"Инновационная активность организаций: Удельный вес организаций, осуществлявших технологические инновации, в общем числе обследованных организаций",В процентах
Y477110176,Используемые передовые производственные технологии,ND
Y477110190,Капитальные затраты на научные исследования и разработки,Млн руб
Y477110235,"Объем инновационных товаров, работ, услуг: В процентах от общего объема отгруженных товаров, выполненных работ, услуг",В процентах
Y477110236,"Объем инновационных товаров, работ, услуг: Всего",Млн руб
Y477110259,"Организации, выполнявшие научные исследования и разработки",ND
Y477110307,Поступление патентных заявок и выдача патентов в России: Выдано патентов на изобретения,Единиц
Y477110308,Поступление патентных заявок и выдача патентов в России: Выдано патентов на полезные модели,Единиц
Y477110309,Поступление патентных заявок и выдача патентов в России: Подано патентных заявок на изобретения,Единиц
Y477110310,Поступление патентных заявок и выдача патентов в России: Подано патентных заявок на полезные модели,Единиц
Y477110352,Разработанные передовые производственные технологии,ND
Y477110454,Численность исследователей с учеными степенями: Всего,Тыс чел
Y477110455,Численность исследователей с учеными степенями: С ученой степенью доктора наук,Тыс чел
Y477110456,Численность исследователей с учеными степенями: С ученой степенью кандидата наук,Тыс чел
Y477110471,"Численность персонала, занятого научными исследованиями и разработками",Тыс чел
Y477110472,"Численность персонала, занятого научными исследованиями и разработками, по категориям: Вспомогательный персонал",Тыс чел
Y477110473,"Численность персонала, занятого научными исследованиями и разработками, по категориям: Исследователи",Тыс чел
Y477110474,"Численность персонала, занятого научными исследованиями и разработками, по категориям: Прочие",Тыс чел
Y477110475,"Численность персонала, занятого научными исследованиями и разработками, по категориям: Техники",Тыс чел
Y477110004,Валовой коэффициент охвата дошкольным образованием,"На конец года, в процентах от численности детей в возрасте 1‒6 лет"
Y477110327,Предоставление гражданам социальной поддержки (льгот) по оплате жилого помещения и коммунальных услуг: Среднемесячный размер социальной поддержки на одного пользователя,Руб
Y477110054,"Выпуск бакалавров, специалистов, магистров",Тыс чел
Y477110056,Выпуск квалифицированных рабочих и служащих,Тыс чел
Y477110057,"Выпуск обучающихся организациями, осуществляющих образовательную деятельность по образовательным программам начального, основного и среднего общего образования: Выпуск обучающихся с аттестатом о среднем общем образовании",Тыс чел
Y477110058,"Выпуск обучающихся организациями, осуществляющих образовательную деятельность по образовательным программам начального, основного и среднего общего образования: Выпуск обучающихся с аттестатом об основном общем образовании",Тыс чел
Y477110059,Выпуск специалистов среднего звена,Тыс чел
Y477110217,"Обеспеченность детей дошкольного возраста местами в организациях, осуществляющих образовательную деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","На конец года, приходится мест на 1000 детей"
Y477110326,"Предоставление гражданам социальной поддержки (льгот) по оплате жилого помещения и коммунальных услуг: Объем средств, предусмотренных на предоставление гражданам социальной поддержки по оплате жилого помещения и коммунальных услуг",Млн руб
Y477110332,"Преподаватели и мастера производственного обучения, реализующие программы подготовки квалифицированных рабочих, служащих: Численность мастеров производственного обучения",Тыс чел
Y477110333,"Преподаватели и мастера производственного обучения, реализующие программы подготовки квалифицированных рабочих, служащих: Численность преподавателей",Тыс чел
Y477110334,"Преподаватели и мастера производственного обучения, реализующие программы подготовки специалистов среднего звена: Численность мастеров производственного обучения","На начало учебного года, человек"
Y477110335,"Преподаватели и мастера производственного обучения, реализующие программы подготовки специалистов среднего звена: Численность преподавателей","На начало учебного года, человек"
Y477110338,"Прием на обучение по программам бакалавриата, специалитета, магистратуры",Тыс чел
Y477110339,"Прием на обучение по программам подготовки квалифицированных рабочих, служащих",Тыс чел
Y477110340,Прием на обучение по программам подготовки специалистов среднего звена,Тыс чел
Y477110410,"Удельный вес обучающихся во вторую и третью смены в организациях, осуществляющих образовательную деятельность по образовательным программам начального, основного и среднего общего образования","На начало учебного года, в процентах от общей численности обучающихся"
Y477110436,Численность аспирантов,Тыс чел
Y477110439,"Численность воспитанников организаций, осуществляющих образовательную деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми",Тыс чел
Y477110447,Численность докторантов,Тыс чел
Y477110465,"Численность обучающихся организаций, осуществляющих образовательную деятельность по образовательным программам начального, основного и среднего общего образования","На начало учебного года, тысяч человек"
Y477110466,Численность ординаторов и ассистентов-стажеров: Численность ассистентов-стажеров,Тыс чел
Y477110467,Численность ординаторов и ассистентов-стажеров: Численность ординаторов,Тыс чел
Y477110476,"Численность профессорско-преподавательского персонала, осуществляющего образовательную деятельность по программам высшего образования","На начало учебного года, человек"
Y477110325,"Предоставление гражданам жилых помещений: Число семей, состоявших на учете в качестве нуждающихся в жилых помещениях","На конец года, тысяч"
Y477110483,"Численность студентов государственных и муниципальных профессиональных образовательных организаций, обучающихся по программам подготовки специалистов среднего звена на 10000 человек населения","На начало учебного года, человек"
Y477110484,"Численность студентов, обучающихся по программам бакалавриата, специалитета, магистратуры","На начало учебного года, тысяч человек"
Y477110485,"Численность студентов, обучающихся по программам бакалавриата, специалитета, магистратуры на 10000 человек населения","На начало учебного года, человек"
Y477110324,"Предоставление гражданам жилых помещений: Число семей, получивших жилые помещения и улучшивших жилищные условия за год",Тысяч
Y477110486,"Численность студентов, обучающихся по программам подготовки квалифицированных рабочих, служащих",Тыс чел
Y477110487,"Численность студентов, обучающихся по программам подготовки специалистов среднего звена","На начало учебного года, тысяч человек"
Y477110488,"Численность учителей организаций, осуществляющих образовательную деятельность по образовательным программам начального, основного и среднего общего образования","На 20 сентября, тысяч человек"
Y477110323,"Предоставление гражданам жилых помещений: Удельный вес семей, состоявших на учете в качестве нуждающихся в жилых помещениях, в общем числе семей",В процентах
Y477110322,"Предоставление гражданам жилых помещений: Удельный вес семей, получивших жилые помещения, в числе семей, состоявших на учете в качестве нуждающихся в жилых помещениях",В процентах
Y477110320,Потребление яиц на душу населения,"В год, штук"
Y477110319,Потребление хлебных продуктов на душу населения,"В год, килограммов"
Y477110318,Потребление сахара на душу населения,"В год, килограммов"
Y477110317,Потребление растительного масла на душу населения,"В год, килограммов"
Y477110316,Потребление мяса и мясопродуктов (включая субпродукты II категории и жир-сырец) на душу населения,"В год, килограммов"
