indicator_code,indicator_name,unit_canonical
Y477070001,Ввод молодняков в категорию хозяйственно-ценных лесных насаждений,Тысяч гектаров
Y477060051,Производство скота и птицы на убой в крестьянских (фермерских) хозяйствах,"В убойном весе, тысяч тонн"
Y477060050,Производство молока в крестьянских (фермерских) хозяйствах,Тысяч тонн
Y477060004,Валовой сбор семян подсолнечника в крестьянских (фермерских) хозяйствах,Тысяч тонн
Y477060003,Валовой сбор сахарной свеклы в крестьянских (фермерских) хозяйствах,Тысяч тонн
Y477060002,Валовой сбор зерна (в весе после доработки) в крестьянских (фермерских) хозяйствах,Тысяч тонн
Y477060095,Число фактически действующих индивидуальных предпринимателей,Тыс чел
Y477060094,"Число помогающих членов семьи, занятых в сфере индивидуального предпринимательства",Тыс чел
Y477060093,"Число партнеров, занятых в сфере индивидуального предпринимательства",Тыс чел
Y477060092,"Число наемных работников занятых, в сфере индивидуального предпринимательства",Тыс чел
Y477060091,Численность занятых в сфере индивидуального предпринимательства,Тыс чел
Y477060084,Удельный вес индивидуальных предпринимателей в общем объеме оборота розничной торговли субъекта Российской Федерации,В процентах
Y477060047,"Объем выручки (с учетом налогов и аналогичных обязательных платежей) от продажи товаров, продукции, работ, услуг по всем видам деятельности индивидуальных предпринимателей",Млн руб
Y477060034,Оборот розничной торговли индивидуальных предпринимателей,Млн руб
Y477030058,Расходы консолидированных бюджетов субъектов Российской Федерации на жилищно-коммунальное хозяйство,Миллионов рублей; для значений в целом по России: млрд. руб
Y477080057,Объем юридических услуг населению,Млн руб
Y477110006,Валовой региональный продукт на душу населения,Руб
Y477110142,Индексы цен производителей сельскохозяйственной продукции и приобретения товаров и услуг сельскохозяйственными организациями: Индекс цен производителей сельскохозяйственной продукции,В процентах к предыдущему году
Y477110076,Заболеваемость на 1000 человек населения,"Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни"
Y477110078,Заболеваемость на 1000 человек населения по основным классам болезней: Болезни глаза и его придаточного аппарата,"Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни"
Y477110079,Заболеваемость на 1000 человек населения по основным классам болезней: Болезни кожи и подкожной клетчатки,"Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни"
Y477170054,Численность рабочей силы,Тыс чел
Y477110080,Заболеваемость на 1000 человек населения по основным классам болезней: Болезни костно-мышечной системы и соединительной ткани,"Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни"
Y477110081,"Заболеваемость на 1000 человек населения по основным классам болезней: Болезни крови, кроветворных органов и отдельные нарушения, вовлекающие иммунный механизм","Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни"
Y477170044,Численность занятого населения,Тыс чел
Y477110082,Заболеваемость на 1000 человек населения по основным классам болезней: Болезни мочеполовой системы,"Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни"
Y477170040,Численность безработных мужчин,Тыс чел
Y477170039,Численность безработных женщин,Тыс чел
Y477170038,Численность безработных,Тыс чел
Y477170037,Уровень участия в составе рабочей силы,В процентах
Y477110083,Заболеваемость на 1000 человек населения по основным классам болезней: Болезни нервной системы,"Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни"
Y477170033,Уровень занятости населения,В процентах
Y477110084,Заболеваемость на 1000 человек населения по основным классам болезней: Болезни органов дыхания,"Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни"
Y477170030,Уровень безработицы мужчин,В процентах
Y477170029,Уровень безработицы женщин,В процентах
Y477170028,Уровень безработицы,В процентах
Y477110085,Заболеваемость на 1000 человек населения по основным классам болезней: Болезни органов пищеварения,"Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни"
Y477170016,Средняя продолжительность поиска работы безработными,Месяцев
Y477080053,Объем платных услуг физической культуры и спорта,Млн руб
Y477080034,Индексы физического объема платных услуг физической культуры и спорта,В процентах к предыдущему году
Y477080018,Индексы потребительских цен на услуги физической культуры и спорта,"Декабрь к декабрю предыдущего года, в процентах"
Y477110087,Заболеваемость на 1000 человек населения по основным классам болезней: Болезни уха и сосцевидного отростка,"Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни"
Y477080056,Объем услуг почтовой связи и курьерских услуг населению,Млн руб
Y477080037,Индексы физического объема услуг почтовой связи и курьерских услуг населению,В процентах к предыдущему году
Y477080008,Индексы потребительских цен (тарифов) на услуги почтовой связи,"Декабрь к декабрю предыдущего года, в процентах"
Y477080047,Объем платных услуг культуры,Млн руб
Y477080028,Индексы физического объема платных услуг культуры,В процентах к предыдущему году
Y477110088,"Заболеваемость на 1000 человек населения по основным классам болезней: Болезни эндокринной системы, расстройства питания и нарушения обмена веществ","Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни"
Y477080016,Индексы потребительских цен на услуги организаций культуры,"Декабрь к декабрю предыдущего года, в процентах"
Y477080054,Объем телекоммуникационных услуг населению,Млн руб
Y477110089,"Заболеваемость на 1000 человек населения по основным классам болезней: Врожденные аномалии (пороки развития), деформации и хромосомные нарушения","Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни"
Y477080035,Индексы физического объема телекоммуникационных услуг населению,В процентах к предыдущему году
Y477080009,Индексы потребительских цен (тарифов) на услуги связи,"Декабрь к декабрю предыдущего года, в процентах"
Y477080080,"Численность российских туристов, отправленных турфирмами в зарубежные туры",Тыс чел
Y477080079,"Численность лиц, размещенных в коллективных средствах размещения",Тыс чел
Y477110090,Заболеваемость на 1000 человек населения по основным классам болезней: Некоторые инфекционные и паразитарные болезни,"Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни"
Y477080050,Объем платных услуг специализированных коллективных средств размещения,Млн руб
Y477080049,Объем платных услуг санаторно-курортных организаций,Млн руб
Y477080045,Объем платных услуг гостиниц и аналогичных средств размещения,Млн руб
Y477080043,Объем платных туристских услуг населению,Млн руб
Y477110091,Заболеваемость на 1000 человек населения по основным классам болезней: Новообразования,"Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни"
Y477080031,Индексы физического объема платных услуг специализированных коллективных средств размещения,В процентах к предыдущему году
